FPS|deltaTimeS|renderingMode|numTris|numDrawCalls|objectCount
103.5229|0.009659701|instanced|1794970|17|1
116.5216|0.0085821|instanced|1794970|17|1
93.4361|0.0107025|instanced|1436362|17|1
97.10248|0.0102984|instanced|1794970|17|1
111.652|0.008956399|instanced|1794970|17|1
95.59861|0.0104604|instanced|1794970|17|1
91.62714|0.0109138|instanced|1794970|17|1
103.5593|0.0096563|instanced|1794970|17|1
120.479|0.008300198|instanced|1794970|17|1
108.2403|0.009238705|instanced|1794970|17|1
140.2603|0.007129599|instanced|1794970|17|1
162.6387|0.006148597|instanced|1794970|17|1
111.4591|0.008971903|instanced|1794970|17|1
105.2222|0.009503699|instanced|1794970|17|1
117.1591|0.008535403|instanced|1794970|17|1
124.3889|0.0080393|instanced|1794970|17|1
104.6814|0.009552799|instanced|1794970|16|1
86.40652|0.0115732|instanced|1794970|17|1
136.2139|0.007341397|instanced|1794970|17|1
83.97575|0.0119082|instanced|1794970|17|1
116.1454|0.008609899|instanced|1794970|17|1
145.315|0.006881604|instanced|1794970|17|1
114.0433|0.008768601|instanced|1794970|17|1
126.8376|0.007884098|instanced|1794970|17|1
115.3243|0.008671202|instanced|1794970|17|1
159.4364|0.006272095|instanced|1794970|17|1
100.9826|0.0099027|instanced|1436362|16|1
84.70197|0.0118061|instanced|1794970|17|1
106.3773|0.009400503|instanced|1794970|17|1
130.1863|0.007681299|instanced|1794970|17|1
100.1222|0.009987798|instanced|1794970|17|1
140.5225|0.007116298|instanced|1794970|17|1
85.54977|0.0116891|instanced|1794970|17|1
82.98891|0.0120498|instanced|1794970|17|1
57.77642|0.0173081|instanced|1794970|17|1
99.71581|0.0100285|instanced|1794970|17|1
53.81609|0.0185818|instanced|1794970|17|1
50.77766|0.0196937|instanced|1794970|17|1
76.91306|0.01300169|instanced|1794970|17|1
41.46538|0.0241165|instanced|1794970|17|1
95.05431|0.0105203|instanced|1794970|17|1
83.89054|0.01192029|instanced|1794970|17|1
66.1148|0.01512521|instanced|1436362|16|1
62.78767|0.01592669|instanced|1794970|17|1
85.76325|0.01166001|instanced|1794970|17|1
141.0537|0.007089498|instanced|1794970|17|1
89.89898|0.0111236|instanced|1794970|16|1
84.02937|0.0119006|instanced|1794970|16|1
88.52533|0.0112962|instanced|1794970|17|1
129.2541|0.007736699|instanced|1794970|17|1
113.0915|0.008842397|instanced|1794970|17|1
99.09424|0.0100914|instanced|1794970|17|1
114.0811|0.008765696|instanced|1794970|17|1
146.4858|0.006826601|instanced|1794970|17|1
112.4822|0.008890299|instanced|1794970|16|1
97.92397|0.010212|instanced|1794970|16|1
103.1417|0.009695401|instanced|1436362|17|1
95.9481|0.0104223|instanced|1794970|17|1
103.4811|0.009663599|instanced|1794970|17|1
100.006|0.009999397|instanced|1436362|16|1
99.05994|0.0100949|instanced|1794970|17|1
97.0572|0.0103032|instanced|1794970|17|1
92.0378|0.0108651|instanced|1794970|17|1
112.3899|0.008897598|instanced|1794970|17|1
131.0822|0.007628798|instanced|1794970|17|1
155.1373|0.006445904|instanced|1794970|17|1
115.7194|0.008641596|instanced|1794970|17|1
113.6789|0.008796705|instanced|1794970|17|1
115.5255|0.008656101|instanced|1794970|17|1
138.8696|0.007200999|instanced|1794970|17|1
122.405|0.008169601|instanced|1794970|17|1
139.5966|0.007163499|instanced|1794970|17|1
69.59863|0.0143681|instanced|1794970|17|1
111.9658|0.0089313|instanced|1794970|17|1
164.6742|0.006072598|instanced|1794970|17|1
146.4493|0.006828302|instanced|1794970|17|1
118.4469|0.008442602|instanced|1794970|17|1
150.3918|0.006649299|instanced|1794970|17|1
92.74802|0.0107819|instanced|1794970|17|1
125.5776|0.007963202|instanced|1436362|16|1
83.16773|0.01202389|instanced|1077754|15|1
105.0674|0.009517701|instanced|1794970|17|1
104.2992|0.009587797|instanced|1794970|17|1
119.3459|0.008379004|instanced|1794970|17|1
85.8996|0.0116415|instanced|1077754|15|1
102.1847|0.009786204|instanced|1077754|15|1
131.987|0.007576502|instanced|1794970|17|1
104.4038|0.009578195|instanced|1794970|17|1
122.7129|0.0081491|instanced|1794970|17|1
157.3316|0.006356002|instanced|1794970|17|1
98.27236|0.0101758|instanced|1794970|17|1
123.4995|0.008097201|instanced|1077754|15|1
82.3005|0.01215059|instanced|1794970|17|1
131.5357|0.007602501|instanced|1794970|17|1
123.9219|0.0080696|instanced|1794970|17|1
109.1405|0.0091625|instanced|1794970|17|1
111.8343|0.008941801|instanced|1794970|17|1
111.0322|0.009006399|instanced|1794970|17|1
104.9802|0.009525603|instanced|1794970|17|1
113.5808|0.008804302|instanced|1794970|17|1
115.051|0.008691794|instanced|1436362|16|1
102.0376|0.009800305|instanced|1794970|17|1
