deltaTimeS|cameraDistance|lod_level
0.005241298|7.674137|2
0.0040661|7.622321|2
0.004312004|7.582128|2
0.0045991|7.539511|2
0.004750297|7.494062|2
0.004452105|7.447126|2
0.0040009|7.403143|2
0.004123299|7.363623|2
0.004608496|7.322907|2
0.004746903|7.277408|2
0.004678394|7.230543|2
0.004806307|7.184353|2
0.0053634|7.136902|2
0.0055018|7.083944|2
0.0051929|7.029616|2
0.004868594|6.978335|2
0.004981604|6.930275|2
0.005464102|6.881099|2
0.005612401|6.827158|2
0.005889194|6.771755|2
0.005204202|6.713625|2
0.005107398|6.662264|2
0.0051804|6.61187|2
0.007643502|6.560769|2
0.0050705|6.485398|2
0.005427402|6.435416|2
0.005114697|6.381956|1
0.005527905|6.331592|1
0.0077375|6.277173|1
0.004637096|6.201064|1
0.004466801|6.155466|1
0.005783199|6.111555|1
0.004754798|6.054718|1
0.008999504|6.008003|1
0.004950702|5.91962|1
0.004992198|5.871021|1
0.004907497|5.82203|1
0.004479004|5.773886|1
0.004318899|5.729959|1
0.006681101|5.687615|1
0.005577197|5.622137|1
0.004568799|5.567502|1
0.0053063|5.522762|1
0.005224603|5.47082|1
0.004353897|5.419699|1
0.006946202|5.377114|1
0.004980201|5.309206|1
0.004446698|5.260543|1
0.004788102|5.217111|1
0.004860296|5.170364|1
0.004655506|5.122934|1
0.0051839|5.077523|1
0.006892999|5.026983|1
0.004943296|4.959822|1
0.004440001|4.911688|1
0.005218601|4.868477|1
0.005098002|4.817715|0
0.006936997|4.768157|0
0.004885799|4.700769|0
0.004454301|4.653343|0
0.006392701|4.610131|0
0.005756597|4.549347|0
0.0047089|4.49562|0
0.005191801|4.452346|0
0.0121423|4.405449|0
0.004586402|4.300177|0
0.0045839|4.26107|0
0.004734503|4.222619|0
0.004548101|4.18358|0
0.004834694|4.146703|0
0.005773306|4.108205|0
0.005062394|4.063232|0
0.0045813|4.024569|0
0.0045134|3.990211|0
0.004424306|3.956974|0
0.004783298|3.924978|0
0.004509297|3.891071|0
0.004592701|3.859713|0
0.006686005|3.828405|0
0.004497095|3.784151|0
0.004849305|3.754992|0
0.004885197|3.724247|0
0.004619699|3.693982|0
0.005369303|3.665994|0
0.005049199|3.634315|0
0.0048366|3.605279|0
0.005630895|3.578155|0
0.005229004|3.547507|0
0.005085296|3.51985|0
0.004726899|3.493711|0
0.004770904|3.470068|0
0.004771698|3.446871|0
0.004426998|3.424333|0
0.005103104|3.403995|0
0.004749596|3.381305|0
0.004690703|3.360842|0
0.004720699|3.34127|0
0.0047339|3.322216|0
0.0047839|3.303756|0
0.004615001|3.285759|0
0.004849603|3.26901|0
0.004616397|3.252084|0
0.005056597|3.236583|0
0.004788201|3.220335|0
0.004641001|3.205603|0
0.004588598|3.191938|0
0.005823002|3.179026|0
0.005145699|3.163602|0
0.005253402|3.150724|0
0.004976601|3.138357|0
0.004567595|3.127341|0
0.004319905|3.11782|0
0.004788599|3.109341|0
