deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0080913980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0054453020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063586030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064297980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077318030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0083123020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0107425000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0068393000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0071971020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0046574970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0061454010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057781040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0044768000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070183960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0074176020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0081980010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076601970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066644980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078730020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0089823980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075287060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0053763960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0086275010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0082075960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076389030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0068488020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073982000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0086488950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0068654050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077874010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0069532950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070571010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073962020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0079348990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0069949970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066832060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0084572980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066709970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075444020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0054250000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0068980020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0079294990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073395980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075078020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0060481010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065892010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067361960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0086872030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0069285010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064278980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077929000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0083554000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073286000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0046924040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0060202950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0080814060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0061497940;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0082598000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0053470030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0074171980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0084858000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076612030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0081829010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070455000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0085509990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073052010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066327950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052986040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075161000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075960960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0083208050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059587020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0043634990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059672970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067214000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056096020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056589000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065548960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065929990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075312010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0095580010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0072223000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056007020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067627970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070633010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059139030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064038970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052314980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064162060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0069142010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052252980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0053293010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055889950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0050484060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0054207980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056028980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075383010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065519980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066081990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077194020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057158020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0054982000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
