timestamp|mode|fps|frametime_ms|render_texture_width|render_texture_height|secondary_camera_enabled|secondary_camera_update_rate|draw_calls|batches|tris|visible_object_count
80.19805|include_secondary_view|51.1713|19.54221|2048|2048|True|1:1|253|253|75314032|61
80.21795|include_secondary_view|50.24798|19.9013|2048|2048|True|1:1|253|253|75314032|61
80.23785|include_secondary_view|50.06508|19.974|2048|2048|True|1:1|253|253|75314032|61
80.25763|include_secondary_view|50.86005|19.6618|2048|2048|True|1:1|253|253|75314032|61
80.27712|include_secondary_view|51.05297|19.5875|2048|2048|True|1:1|253|253|75314032|61
80.29659|include_secondary_view|51.24447|19.5143|2048|2048|True|1:1|253|253|75314032|61
80.31608|include_secondary_view|51.17|19.5427|2048|2048|True|1:1|253|253|75314032|61
80.33569|include_secondary_view|51.16503|19.5446|2048|2048|True|1:1|253|253|75314032|61
81.59397|include_secondary_view|3|333.3333|2048|2048|True|1:1|253|253|75314032|61
81.60551|include_secondary_view|70.44834|14.1948|2048|2048|True|1:1|253|253|75314032|61
81.62435|include_secondary_view|53.81088|18.5836|2048|2048|True|1:1|253|253|75314032|61
81.64055|include_secondary_view|62.05515|16.1147|2048|2048|True|1:1|253|253|75314032|61
81.66066|include_secondary_view|50.71044|19.7198|2048|2048|True|1:1|253|253|75314032|61
81.6804|include_secondary_view|49.80751|20.0773|2048|2048|True|1:1|253|253|75314032|61
82.1703|include_secondary_view|3|333.3333|2048|2048|True|1:1|253|253|75314032|61
82.19142|include_secondary_view|42.63756|23.4535|2048|2048|True|1:1|253|253|75314032|61
82.21183|include_secondary_view|49.30261|20.2829|2048|2048|True|1:1|253|253|75314032|61
82.22159|include_secondary_view|102.1336|9.7911|2048|2048|True|1:1|253|253|75314032|61
82.24165|include_secondary_view|50.74674|19.7057|2048|2048|True|1:1|253|253|75314032|61
82.26067|include_secondary_view|50.98113|19.6151|2048|2048|True|1:1|253|253|75314032|61
82.28065|include_secondary_view|50.91988|19.6387|2048|2048|True|1:1|253|253|75314032|61
82.3|include_secondary_view|51.4586|19.4331|2048|2048|True|1:1|253|253|75314032|61
82.31975|include_secondary_view|50.95878|19.6237|2048|2048|True|1:1|253|253|75314032|61
82.33938|include_secondary_view|50.77585|19.6944|2048|2048|True|1:1|254|254|75314034|61
82.35925|include_secondary_view|50.34613|19.8625|2048|2048|True|1:1|253|253|75314032|61
82.37891|include_secondary_view|51.5363|19.4038|2048|2048|True|1:1|253|253|75314032|61
82.39816|include_secondary_view|51.1271|19.5591|2048|2048|True|1:1|253|253|75314032|61
82.42172|include_secondary_view|50.93568|19.6326|2048|2048|True|1:1|253|253|75314032|61
82.43746|include_secondary_view|50.81509|19.67919|2048|2048|True|1:1|253|253|75314032|61
82.45719|include_secondary_view|50.7823|19.6919|2048|2048|True|1:1|253|253|75314032|61
82.47683|include_secondary_view|50.84348|19.66821|2048|2048|True|1:1|253|253|75314032|61
82.49655|include_secondary_view|50.61958|19.7552|2048|2048|True|1:1|253|253|75314032|61
82.5161|include_secondary_view|51.1708|19.5424|2048|2048|True|1:1|253|253|75314032|61
82.53661|include_secondary_view|48.98432|20.4147|2048|2048|True|1:1|253|253|75314032|61
82.55656|include_secondary_view|49.94081|20.0237|2048|2048|True|1:1|253|253|75314032|61
82.57599|include_secondary_view|51.34366|19.4766|2048|2048|True|1:1|253|253|75314032|61
82.59591|include_secondary_view|50.33751|19.8659|2048|2048|True|1:1|253|253|75314032|61
82.61567|include_secondary_view|50.63907|19.7476|2048|2048|True|1:1|253|253|75314032|61
82.63527|include_secondary_view|50.92557|19.6365|2048|2048|True|1:1|254|254|75314034|61
82.65538|include_secondary_view|49.85815|20.0569|2048|2048|True|1:1|253|253|75314032|61
82.67483|include_secondary_view|51.5807|19.3871|2048|2048|True|1:1|253|253|75314032|61
82.69438|include_secondary_view|50.83961|19.6697|2048|2048|True|1:1|253|253|75314032|61
82.71421|include_secondary_view|50.20787|19.9172|2048|2048|True|1:1|253|253|75314032|61
82.73522|include_secondary_view|47.73018|20.95111|2048|2048|True|1:1|253|253|75314032|61
82.75576|include_secondary_view|48.67508|20.5444|2048|2048|True|1:1|253|253|75314032|61
82.77522|include_secondary_view|51.43821|19.4408|2048|2048|True|1:1|253|253|75314032|61
82.79495|include_secondary_view|50.81275|19.6801|2048|2048|True|1:1|253|253|75314032|61
82.81432|include_secondary_view|51.4443|19.4385|2048|2048|True|1:1|253|253|75314032|61
82.83379|include_secondary_view|51.80676|19.3025|2048|2048|True|1:1|253|253|75314032|61
82.85314|include_secondary_view|51.14305|19.553|2048|2048|True|1:1|253|253|75314032|61
82.87302|include_secondary_view|50.53082|19.7899|2048|2048|True|1:1|253|253|75314032|61
82.89301|include_secondary_view|50.50658|19.7994|2048|2048|True|1:1|253|253|75314032|61
82.91267|include_secondary_view|50.41111|19.8369|2048|2048|True|1:1|253|253|75314032|61
82.93264|include_secondary_view|49.97351|20.0106|2048|2048|True|1:1|254|254|75314034|61
82.95244|include_secondary_view|50.46299|19.8165|2048|2048|True|1:1|253|253|75314032|61
82.97211|include_secondary_view|51.07331|19.5797|2048|2048|True|1:1|253|253|75314032|61
82.99152|include_secondary_view|51.25497|19.5103|2048|2048|True|1:1|253|253|75314032|61
83.01113|include_secondary_view|51.05611|19.58629|2048|2048|True|1:1|253|253|75314032|61
83.03142|include_secondary_view|50.33092|19.8685|2048|2048|True|1:1|253|253|75314032|61
83.05058|include_secondary_view|50.94217|19.6301|2048|2048|True|1:1|253|253|75314032|61
83.0699|include_secondary_view|51.83147|19.2933|2048|2048|True|1:1|253|253|75314032|61
83.09018|include_secondary_view|50.39586|19.8429|2048|2048|True|1:1|253|253|75314032|61
83.10909|include_secondary_view|51.86346|19.2814|2048|2048|True|1:1|253|253|75314032|61
83.129|include_secondary_view|51.26313|19.5072|2048|2048|True|1:1|253|253|75314032|61
83.14793|include_secondary_view|51.50895|19.4141|2048|2048|True|1:1|253|253|75314032|61
83.16763|include_secondary_view|50.96371|19.62181|2048|2048|True|1:1|253|253|75314032|61
83.1872|include_secondary_view|51.05168|19.588|2048|2048|True|1:1|253|253|75314032|61
83.2068|include_secondary_view|51.29889|19.4936|2048|2048|True|1:1|253|253|75314032|61
83.22636|include_secondary_view|50.73618|19.7098|2048|2048|True|1:1|254|254|75314034|61
83.24763|include_secondary_view|47.08696|21.2373|2048|2048|True|1:1|253|253|75314032|61
83.26833|include_secondary_view|48.28795|20.7091|2048|2048|True|1:1|253|253|75314032|61
83.28767|include_secondary_view|51.86426|19.2811|2048|2048|True|1:1|253|253|75314032|61
83.30692|include_secondary_view|51.79736|19.306|2048|2048|True|1:1|253|253|75314032|61
